state|county|agg_cases|agg_deaths|county_cfr
Minnesota|Pope|372|0|0
Minnesota|Ramsey|135849|6271|4.62
Minnesota|Red Lake|178|0|0
Minnesota|Redwood|326|0|0
Minnesota|Renville|469|3|0.64
Minnesota|Rice|20881|134|0.64
Minnesota|Rock|1218|0|0
Minnesota|Roseau|167|0|0
Minnesota|Scott|19092|140|0.73
Minnesota|Sherburne|10701|92|0.86
Minnesota|Sibley|776|25|3.22
Minnesota|St. Louis|7138|865|12.12
Minnesota|Stearns|94168|618|0.66
Minnesota|Steele|7054|0|0
Minnesota|Stevens|31|0|0
Minnesota|Swift|768|18|2.34
Minnesota|Todd|11407|36|0.32
Minnesota|Traverse|252|0|0
Minnesota|Unknown|3826|714|18.66
Minnesota|Wabasha|1165|0|0
Minnesota|Wadena|381|0|0
Minnesota|Waseca|1387|0|0
Minnesota|Washington|30641|1522|4.97
Minnesota|Watonwan|3456|0|0
Minnesota|Wilkin|874|205|23.46
Minnesota|Winona|5448|1018|18.69
Minnesota|Wright|13799|96|0.7
Minnesota|Yellow Medicine|422|0|0
Mississippi|Adams|12116|892|7.36
Mississippi|Alcorn|1168|55|4.71
Mississippi|Amite|3317|72|2.17
Mississippi|Attala|15196|709|4.67
Mississippi|Benton|990|0|0
Mississippi|Bolivar|10237|681|6.65
Mississippi|Calhoun|4351|250|5.75
Mississippi|Carroll|6223|451|7.25
Mississippi|Chickasaw|8019|753|9.39
Mississippi|Choctaw|2404|128|5.32
Mississippi|Claiborne|4729|172|3.64
Mississippi|Clarke|7431|846|11.38
Mississippi|Clay|6516|226|3.47
Mississippi|Coahoma|7230|241|3.33
Mississippi|Copiah|16030|211|1.32
Mississippi|Covington|8485|77|0.91
Mississippi|DeSoto|33723|497|1.47
Mississippi|Forrest|30192|1806|5.98
Mississippi|Franklin|1679|91|5.42
Mississippi|George|1571|85|5.41
Mississippi|Greene|1301|90|6.92
Mississippi|Grenada|5476|148|2.7
Mississippi|Hancock|5989|687|11.47
Mississippi|Harrison|17909|484|2.7
Mississippi|Hinds|59709|1278|2.14
Mississippi|Holmes|20646|1414|6.85
Mississippi|Humphreys|3296|390|11.83
Mississippi|Itawamba|5081|388|7.64
Mississippi|Jackson|21766|846|3.89
Mississippi|Jasper|7997|185|2.31
Mississippi|Jefferson|2346|38|1.62
Mississippi|Jefferson Davis|4049|133|3.28
Mississippi|Jones|30346|1149|3.79
Mississippi|Kemper|7459|502|6.73
Mississippi|Lafayette|8806|248|2.82
Mississippi|Lamar|13179|276|2.09
Mississippi|Lauderdale|40375|3325|8.24
Mississippi|Lawrence|5381|32|0.59
Mississippi|Leake|22952|515|2.24
Mississippi|Lee|10442|472|4.52
Mississippi|Leflore|16142|1860|11.52
Mississippi|Lincoln|15563|1364|8.76
Mississippi|Lowndes|11214|384|3.42
Mississippi|Madison|38606|1237|3.2
Mississippi|Marion|6937|481|6.93
Mississippi|Marshall|5266|193|3.67
Mississippi|Monroe|14966|1368|9.14
Mississippi|Montgomery|4576|84|1.84
Mississippi|Neshoba|32469|1777|5.47
Mississippi|Newton|13115|190|1.45
Mississippi|Noxubee|9224|235|2.55
Mississippi|Oktibbeha|11976|620|5.18
Mississippi|Panola|4994|193|3.86
Mississippi|Pearl River|14115|1722|12.2
Mississippi|Perry|2932|153|5.22
Mississippi|Pike|12993|621|4.78
Mississippi|Pontotoc|2800|182|6.5
Mississippi|Prentiss|3100|145|4.68
Mississippi|Quitman|1887|0|0
Mississippi|Rankin|24140|484|2
Mississippi|Scott|34322|486|1.42
Mississippi|Sharkey|462|0|0
Mississippi|Simpson|5400|14|0.26
Mississippi|Smith|8327|527|6.33
Mississippi|Stone|1913|6|0.31
Mississippi|Sunflower|5777|221|3.83
Mississippi|Tallahatchie|1636|67|4.1
Mississippi|Tate|5339|36|0.67
Mississippi|Tippah|5483|752|13.72
Mississippi|Tishomingo|1548|6|0.39
Mississippi|Tunica|3534|173|4.9
Mississippi|Union|4238|298|7.03
Mississippi|Unknown|1544|20|1.3
Mississippi|Walthall|3995|12|0.3
Mississippi|Warren|9824|423|4.31
Mississippi|Washington|10647|370|3.48
Mississippi|Wayne|9914|123|1.24
Mississippi|Webster|3558|215|6.04
Mississippi|Wilkinson|5847|604|10.33
Mississippi|Winston|6351|44|0.69
Mississippi|Yalobusha|4957|204|4.12
Mississippi|Yazoo|15344|219|1.43
Missouri|Adair|2820|0|0
Missouri|Andrew|1259|0|0
Missouri|Atchison|192|0|0
Missouri|Audrain|3262|26|0.8
Missouri|Barry|627|0|0
Missouri|Barton|101|0|0
Missouri|Bates|624|71|11.38
Missouri|Benton|678|0|0
Missouri|Bollinger|425|0|0
Missouri|Boone|10875|108|0.99
Missouri|Buchanan|33283|133|0.4
Missouri|Butler|2325|0|0
Missouri|Caldwell|330|0|0
Missouri|Callaway|2182|78|3.57
Missouri|Camden|2908|87|2.99
Missouri|Cape Girardeau|4889|133|2.72
Missouri|Carroll|393|0|0
Missouri|Carter|332|80|24.1
Missouri|Cass|6021|524|8.7
Missouri|Cedar|610|0|0
Missouri|Chariton|440|0|0
Missouri|Christian|1845|0|0
Missouri|Clark|83|0|0
Missouri|Clay|11217|179|1.6
Missouri|Clinton|1226|0|0
Missouri|Cole|4341|81|1.87
Missouri|Cooper|629|0|0
Missouri|Crawford|582|0|0
Missouri|Dade|8|0|0
Missouri|Dallas|242|0|0
Missouri|Daviess|263|0|0
Missouri|DeKalb|375|0|0
Missouri|Dent|39|0|0
Missouri|Douglas|59|0|0
Missouri|Dunklin|2534|149|5.88
Missouri|Franklin|10060|940|9.34
Missouri|Gasconade|171|0|0
Missouri|Gentry|1377|129|9.37
Missouri|Greene|10641|683|6.42
Missouri|Grundy|212|0|0
Missouri|Harrison|573|0|0
Missouri|Henry|752|150|19.95
Missouri|Holt|74|0|0
Missouri|Howard|190|0|0
Missouri|Howell|701|0|0
Missouri|Iron|139|0|0
Missouri|Jackson|38729|1276|3.29
Missouri|Jasper|3868|0|0
Missouri|Jefferson|24028|915|3.81
Missouri|Johnson|5197|0|0
Missouri|Kansas City|74408|1541|2.07
Missouri|Knox|26|0|0
Missouri|Laclede|273|0|0
Missouri|Lafayette|4686|118|2.52
Missouri|Lawrence|354|0|0
Missouri|Lewis|410|62|15.12
Missouri|Lincoln|5030|76|1.51
Missouri|Linn|523|71|13.58
Missouri|Livingston|249|0|0
Missouri|Macon|275|0|0
Missouri|Madison|172|0|0
Missouri|Maries|167|0|0
Missouri|Marion|355|0|0
Missouri|McDonald|2407|0|0
Missouri|Mercer|91|0|0
Missouri|Miller|246|0|0
Missouri|Mississippi|3078|0|0
Missouri|Moniteau|2957|38|1.29
Missouri|Monroe|78|0|0
Missouri|Montgomery|676|0|0
Missouri|Morgan|497|0|0
Missouri|New Madrid|1256|39|3.11
Missouri|Newton|2578|68|2.64
Missouri|Nodaway|611|0|0
Missouri|Oregon|163|0|0
Missouri|Osage|389|0|0
Missouri|Ozark|3|0|0
Missouri|Pemiscot|4446|227|5.11
Missouri|Perry|4282|0|0
Missouri|Pettis|4235|42|0.99
Missouri|Phelps|242|0|0
Missouri|Pike|1240|42|3.39
Missouri|Platte|4371|82|1.88
Missouri|Polk|218|0|0
Missouri|Pulaski|3497|83|2.37
Missouri|Putnam|23|0|0
Missouri|Ralls|209|0|0
Missouri|Randolph|717|0|0
Missouri|Ray|1170|0|0
Missouri|Reynolds|171|0|0
Missouri|Ripley|537|0|0
Missouri|Saline|15089|76|0.5
Missouri|Schuyler|51|0|0
Missouri|Scotland|382|13|3.4
Missouri|Scott|6673|414|6.2
Missouri|Shannon|128|0|0
Missouri|Shelby|94|0|0
Missouri|St. Charles|52177|3544|6.79
Missouri|St. Clair|151|0|0
Missouri|St. Francois|2551|116|4.55
Missouri|St. Louis|305078|22562|7.4
Missouri|St. Louis city|118824|6980|5.87
Missouri|Ste. Genevieve|749|78|10.41
Missouri|Stoddard|4325|179|4.14
Missouri|Stone|365|0|0
Missouri|Sullivan|2442|0|0
Missouri|Taney|1045|128|12.25
Missouri|Texas|28|0|0
Missouri|Unknown|202|1|0.5
Missouri|Vernon|505|0|0
Missouri|Warren|1876|0|0
Missouri|Washington|680|59|8.68
Missouri|Wayne|3|0|0
Missouri|Webster|1131|0|0
Missouri|Worth|183|0|0
Missouri|Wright|864|0|0
Montana|Beaverhead|80|0|0
Montana|Big Horn|1253|33|2.63
Montana|Broadwater|356|0|0
Montana|Carbon|490|0|0
Montana|Cascade|1351|130|9.62
Montana|Custer|159|0|0
Montana|Dawson|3|0|0
Montana|Deer Lodge|257|0|0
Montana|Fergus|10|0|0
Montana|Flathead|3074|133|4.33
Montana|Gallatin|12934|56|0.43
Montana|Glacier|422|0|0
Montana|Golden Valley|207|0|0
Montana|Hill|90|0|0
Montana|Jefferson|222|0|0
Montana|Lake|472|0|0
Montana|Lewis and Clark|1461|0|0
Montana|Liberty|84|0|0
Montana|Lincoln|597|88|14.74
Montana|Madison|690|85|12.32
Montana|Meagher|89|0|0
Montana|Missoula|3169|80|2.52
Montana|Musselshell|86|0|0
Montana|Park|641|0|0
Montana|Pondera|134|0|0
Montana|Ravalli|720|0|0
Montana|Richland|242|0|0
Montana|Roosevelt|511|0|0
Montana|Rosebud|41|0|0
Montana|Silver Bow|981|0|0
Montana|Stillwater|99|0|0
Montana|Toole|2264|445|19.66
Montana|Valley|5|0|0
Montana|Wheatland|60|0|0
Montana|Yellowstone|7099|150|2.11
Nebraska|Adams|15741|502|3.19
Nebraska|Antelope|405|0|0
Nebraska|Banner|14|0|0
Nebraska|Boone|233|0|0
Nebraska|Box Butte|119|0|0
Nebraska|Boyd|22|0|0
Nebraska|Buffalo|9406|84|0.89
Nebraska|Burt|445|0|0
Nebraska|Butler|2017|0|0
Nebraska|Cass|2069|0|0
Nebraska|Cedar|374|0|0
Nebraska|Chase|30|0|0
Nebraska|Cherry|80|0|0
Nebraska|Cheyenne|584|0|0
Nebraska|Clay|1184|0|0
Nebraska|Colfax|28658|139|0.49
Nebraska|Cuming|1410|0|0
Nebraska|Custer|2309|250|10.83
Nebraska|Dakota|86068|1040|1.21
Nebraska|Dawes|51|0|0
Nebraska|Dawson|45441|336|0.74
