date_rec|deaths_daily_nyt|positive_daily_cases_nyt|daily_cfr|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-05-29|29535|373108|7.92|18.94|368284|1575846|NA|NA|1944130
2020-05-30|29612|374471|7.91|18.43|369660|1635721|NA|NA|2005381
2020-05-31|29699|375575|7.91|17.97|370770|1693055|NA|NA|2063825
2020-06-01|29766|376520|7.91|17.59|371711|1742066|NA|NA|2113777
2020-06-02|29847|377881|7.9|17.21|373040|1794791|NA|NA|2167831
2020-06-03|29918|378924|7.9|16.78|374085|1855388|NA|NA|2229473
2020-06-04|30011|379977|7.9|16.36|375133|1917899|NA|NA|2293032
2020-06-05|30066|381019|7.89|15.94|376208|1983304|NA|NA|2359512
2020-06-06|30123|382102|7.88|15.48|377316|2060091|NA|NA|2437407
2020-06-07|30183|382879|7.88|15.14|378097|2119745|NA|NA|2497842
2020-06-08|30239|383591|7.88|14.82|378799|2177097|NA|NA|2555896
2020-06-09|30309|384281|7.89|14.56|379482|2226387|NA|NA|2605869
2020-06-10|30376|384945|7.89|14.25|380156|2288010|NA|NA|2668166
2020-06-11|30431|385669|7.89|13.96|380892|2348113|NA|NA|2729005
2020-06-12|30511|386490|7.89|13.63|381714|2419686|NA|NA|2801400
2020-06-13|30565|387402|7.89|13.32|382630|2489610|NA|NA|2872240
2020-06-14|30605|388096|7.89|13.06|383324|2551275|NA|NA|2934599
2020-06-15|30645|388719|7.88|12.84|383944|2607266|NA|NA|2991210
2020-06-16|30683|389349|7.88|12.6|384575|2667203|NA|NA|3051778
2020-06-17|30722|389910|7.88|12.38|385142|2725977|NA|NA|3111119
2020-06-18|30767|390536|7.88|12.13|385760|2793900|NA|NA|3179660
2020-06-19|30816|391330|7.87|11.86|386556|2872407|NA|NA|3258963
2020-06-20|30839|392037|7.87|11.64|387272|2940521|NA|NA|3327793
2020-06-21|30884|392702|7.86|11.43|387936|3007383|NA|NA|3395319
2020-06-22|30934|393257|7.87|11.25|388488|3063611|NA|NA|3452099
2020-06-23|30970|393855|7.86|11.11|389085|3111723|NA|NA|3500808
2020-06-24|31001|394430|7.86|10.97|389666|3162286|NA|NA|3551952
2020-06-25|31029|395168|7.85|10.79|390415|3229179|NA|NA|3619594
2020-06-26|31075|395972|7.85|10.63|391220|3290097|NA|NA|3681317
2020-06-27|31105|396669|7.84|10.44|391923|3362656|NA|NA|3754579
2020-06-28|31137|397293|7.84|10.29|392539|3423946|NA|NA|3816485
2020-06-29|31143|397684|7.83|10.17|392930|3469983|NA|NA|3862913
2020-06-30|31776|398142|7.98|10.05|393454|3521484|NA|NA|3914938
